day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
Friday,6,2020-01-31,3527,2704,2304,400
Saturday,7,2020-02-01,2514,1995,1728,267
Sunday,1,2020-02-02,2993,2409,2106,303
Monday,2,2020-02-03,4728,3694,3174,520
Tuesday,3,2020-02-04,4883,3982,3472,510
Wednesday,4,2020-02-05,5071,4061,3528,533
Thursday,5,2020-02-06,4638,3715,3217,498
Friday,6,2020-02-07,3757,2942,2512,430
Saturday,7,2020-02-08,2761,2193,1890,303
Sunday,1,2020-02-09,3423,2849,2498,351
Monday,2,2020-02-10,5066,4016,3464,552
Tuesday,3,2020-02-11,4928,4045,3499,546
Wednesday,4,2020-02-12,4996,4019,3497,522
Thursday,5,2020-02-13,5004,3823,3188,635
Friday,6,2020-02-14,3675,2949,2529,420
Saturday,7,2020-02-15,2556,2024,1757,267
Sunday,1,2020-02-16,3732,2808,2361,447
Monday,2,2020-02-17,4958,3951,3382,569
Tuesday,3,2020-02-18,4869,3806,3273,533
Wednesday,4,2020-02-19,5224,4042,3495,547
Thursday,5,2020-02-20,4890,3748,3212,536
Friday,6,2020-02-21,3678,2914,2528,386
Saturday,7,2020-02-22,2456,2025,1759,266
Sunday,1,2020-02-23,3444,2708,2387,321
Monday,2,2020-02-24,5000,3974,3390,584
Tuesday,3,2020-02-25,5496,4210,3601,609
Wednesday,4,2020-02-26,5059,4014,3468,546
Thursday,5,2020-02-27,4813,3759,3247,512
Friday,6,2020-02-28,3810,3052,2569,483
Saturday,7,2020-02-29,2682,2169,1858,311
Sunday,1,2020-03-01,3332,2754,2379,375
Monday,2,2020-03-02,4872,3801,3264,537
Tuesday,3,2020-03-03,5097,3956,3452,504
Wednesday,4,2020-03-04,4714,3591,3118,473
Thursday,5,2020-03-05,5048,3994,3428,566
Friday,6,2020-03-06,3698,2843,2386,457
Saturday,7,2020-03-07,2670,2095,1798,297
Sunday,1,2020-03-08,3416,2743,2362,381
Monday,2,2020-03-09,4731,3830,3269,561
Tuesday,3,2020-03-10,4820,3718,3169,549
Wednesday,4,2020-03-11,4813,3711,3182,529
Thursday,5,2020-03-12,4393,3508,2952,556
Friday,6,2020-03-13,3316,2613,2172,441
Saturday,7,2020-03-14,2416,1888,1569,319
Sunday,1,2020-03-15,2934,2251,1937,314
Monday,2,2020-03-16,2732,2157,1809,348
Tuesday,3,2020-03-17,3805,3007,2525,482
Wednesday,4,2020-03-18,3748,2976,2508,468
Thursday,5,2020-03-19,3678,2883,2471,412
Friday,6,2020-03-20,3322,2647,2239,408
Saturday,7,2020-03-21,2701,2049,1749,300
Sunday,1,2020-03-22,3263,2469,2120,349
Monday,2,2020-03-23,4105,3166,2690,476
Tuesday,3,2020-03-24,4156,3247,2766,481
Wednesday,4,2020-03-25,4153,3367,2878,489
Thursday,5,2020-03-26,4256,3394,2944,450
Friday,6,2020-03-27,3818,3002,2588,414
Saturday,7,2020-03-28,3045,2438,2103,335
Sunday,1,2020-03-29,4079,3047,2603,444
Monday,2,2020-03-30,4899,3852,3280,572
Tuesday,3,2020-03-31,4943,3822,3310,512
Wednesday,4,2020-04-01,4907,3799,3317,482
Thursday,5,2020-04-02,4933,3838,3305,533
Friday,6,2020-04-03,4665,3498,2975,523
Saturday,7,2020-04-04,3366,2536,2175,361
Sunday,1,2020-04-05,3976,3045,2644,401
Monday,2,2020-04-06,4981,3921,3351,570
Tuesday,3,2020-04-07,5331,4144,3552,592
Wednesday,4,2020-04-08,5331,4203,3656,547
Thursday,5,2020-04-09,5063,3982,3426,556
Friday,6,2020-04-10,4252,3354,2869,485
Saturday,7,2020-04-11,3656,2712,2279,433
Sunday,1,2020-04-12,4152,3125,2666,459
Monday,2,2020-04-13,5089,3922,3379,543
Tuesday,3,2020-04-14,5491,4314,3721,593
Wednesday,4,2020-04-15,5665,4424,3754,670
Thursday,5,2020-04-16,5423,4203,3592,611
Friday,6,2020-04-17,4688,3682,3146,536
Saturday,7,2020-04-18,4055,3007,2521,486
Sunday,1,2020-04-19,4830,3671,3057,614
Monday,2,2020-04-20,5908,4517,3869,648
Tuesday,3,2020-04-21,5633,4377,3722,655
Wednesday,4,2020-04-22,5786,4520,3856,664
Thursday,5,2020-04-23,5967,4758,4074,684
Friday,6,2020-04-24,4937,3879,3319,560
Saturday,7,2020-04-25,4327,3284,2814,470
Sunday,1,2020-04-26,5086,3964,3393,571
Monday,2,2020-04-27,6038,4771,4054,717
Tuesday,3,2020-04-28,6324,4920,4210,710
Wednesday,4,2020-04-29,6062,4735,4006,729
Thursday,5,2020-04-30,5520,4375,3776,599
Friday,6,2020-05-01,4670,3621,3068,553
Saturday,7,2020-05-02,4171,3145,2683,462
Sunday,1,2020-05-03,4716,3648,3067,581
Monday,2,2020-05-04,5939,4567,3882,685
Tuesday,3,2020-05-05,6361,4900,4169,731
Wednesday,4,2020-05-06,6659,5322,4580,742
Thursday,5,2020-05-07,6264,4857,4067,790
Friday,6,2020-05-08,5359,4202,3592,610
Saturday,7,2020-05-09,4593,3452,2932,520
Sunday,1,2020-05-10,5092,3917,3338,579
Monday,2,2020-05-11,6563,5112,4278,834
Tuesday,3,2020-05-12,6124,4775,4028,747
Wednesday,4,2020-05-13,5817,4596,3886,710
Thursday,5,2020-05-14,6057,4583,3937,646
Friday,6,2020-05-15,4958,3829,3183,646
Saturday,7,2020-05-16,3651,2827,2384,443
Sunday,1,2020-05-17,4248,3291,2737,554
Monday,2,2020-05-18,5624,4231,3588,643
Tuesday,3,2020-05-19,5595,4300,3666,634
Wednesday,4,2020-05-20,5213,4106,3466,640
Thursday,5,2020-05-21,5156,3990,3372,618
Friday,6,2020-05-22,4350,3343,2816,527
Saturday,7,2020-05-23,3446,2696,2291,405
Sunday,1,2020-05-24,3945,2969,2479,490
Monday,2,2020-05-25,4639,3610,3054,556
Tuesday,3,2020-05-26,5224,4069,3416,653
Wednesday,4,2020-05-27,5242,4105,3474,631
Thursday,5,2020-05-28,4939,3966,3371,595
Friday,6,2020-05-29,4387,3486,2949,537
Saturday,7,2020-05-30,3327,2583,2189,394
Sunday,1,2020-05-31,3692,2919,2482,437
Monday,2,2020-06-01,4734,3707,3133,574
Tuesday,3,2020-06-02,4727,3690,3057,633
Wednesday,4,2020-06-03,4994,3869,3239,630
Thursday,5,2020-06-04,4767,3733,3156,577
Friday,6,2020-06-05,4124,3247,2778,469
Saturday,7,2020-06-06,3230,2425,2045,380
Sunday,1,2020-06-07,3906,3049,2574,475
Monday,2,2020-06-08,4895,3787,3188,599
Tuesday,3,2020-06-09,4871,3644,3050,594
Wednesday,4,2020-06-10,4989,3857,3269,588
Thursday,5,2020-06-11,4633,3560,3015,545
Friday,6,2020-06-12,4475,3292,2757,535
Saturday,7,2020-06-13,2967,2304,1942,362
Sunday,1,2020-06-14,3507,2684,2282,402
Monday,2,2020-06-15,4337,3348,2794,554
Tuesday,3,2020-06-16,4470,3461,2964,497
Wednesday,4,2020-06-17,4439,3450,2898,552
Thursday,5,2020-06-18,4895,3677,3132,545
Friday,6,2020-06-19,3924,2911,2459,452
Saturday,7,2020-06-20,2827,2190,1851,339
Sunday,1,2020-06-21,3481,2668,2256,412
Monday,2,2020-06-22,4627,3493,2935,558
Tuesday,3,2020-06-23,4561,3493,2950,543
Wednesday,4,2020-06-24,4626,3521,2982,539
Thursday,5,2020-06-25,4137,3215,2668,547
Friday,6,2020-06-26,3555,2675,2248,427
Saturday,7,2020-06-27,2671,1999,1680,319
Sunday,1,2020-06-28,3486,2635,2233,402
Monday,2,2020-06-29,4000,3119,2616,503
Tuesday,3,2020-06-30,3828,3013,2553,460
Wednesday,4,2020-07-01,3935,3049,2599,450
Thursday,5,2020-07-02,3633,2881,2397,484
Friday,6,2020-07-03,2997,2286,1932,354
Saturday,7,2020-07-04,2194,1704,1420,284
Sunday,1,2020-07-05,2948,2198,1836,362
Monday,2,2020-07-06,4049,3215,2724,491
Tuesday,3,2020-07-07,3792,2998,2485,513
Wednesday,4,2020-07-08,4029,3096,2613,483
Thursday,5,2020-07-09,3945,3039,2587,452
Friday,6,2020-07-10,3523,2620,2173,447
Saturday,7,2020-07-11,2646,1981,1665,316
Sunday,1,2020-07-12,3454,2611,2213,398
Monday,2,2020-07-13,3703,2916,2459,457
Tuesday,3,2020-07-14,3680,2853,2397,456
Wednesday,4,2020-07-15,3479,2627,2196,431
Thursday,5,2020-07-16,3756,2916,2463,453
Friday,6,2020-07-17,3289,2557,2122,435
Saturday,7,2020-07-18,2416,1892,1606,286
Sunday,1,2020-07-19,2793,2197,1892,305
Monday,2,2020-07-20,3749,2881,2428,453
Tuesday,3,2020-07-21,3786,2889,2450,439
Wednesday,4,2020-07-22,4002,3039,2566,473
Thursday,5,2020-07-23,3823,3033,2525,508
Friday,6,2020-07-24,3430,2623,2262,361
Saturday,7,2020-07-25,2400,1767,1487,280
Sunday,1,2020-07-26,2835,2207,1869,338
Monday,2,2020-07-27,4001,3031,2523,508
Tuesday,3,2020-07-28,3795,2969,2525,444
Wednesday,4,2020-07-29,3903,3010,2591,419
Thursday,5,2020-07-30,3397,2687,2265,422
Friday,6,2020-07-31,3005,2317,1887,430
Saturday,7,2020-08-01,2305,1750,1479,271
Sunday,1,2020-08-02,2696,1993,1701,292
Monday,2,2020-08-03,3866,2814,2368,446
Tuesday,3,2020-08-04,3826,2845,2400,445
Wednesday,4,2020-08-05,3673,2774,2334,440
Thursday,5,2020-08-06,3660,2625,2189,436
Friday,6,2020-08-07,3136,2364,1941,423
Saturday,7,2020-08-08,2223,1628,1354,274
Sunday,1,2020-08-09,2623,1941,1644,297
Monday,2,2020-08-10,3638,2745,2325,420
Tuesday,3,2020-08-11,3740,2742,2258,484
Wednesday,4,2020-08-12,3767,2904,2477,427
Thursday,5,2020-08-13,3621,2780,2322,458
Friday,6,2020-08-14,2971,2308,1922,386
Saturday,7,2020-08-15,2221,1696,1373,323
Sunday,1,2020-08-16,2724,2037,1686,351
Monday,2,2020-08-17,3456,2638,2181,457
Tuesday,3,2020-08-18,3581,2683,2184,499
